task_name,instance_id,instance_content,standard_output,cnlp_output,cnlp_score
task1424_,1,"Problem: if a certain coin is flipped , the probability that the coin will land heads is 1 / 2 . if the coin is flipped 5 times , what is the probability that it will land heads up on the first 3 flips and not on the last 2 flips ? 
Options: a ) 3 / 5 , b ) 1 / 2 , c ) 1 / 5 , d ) 1 / 8 , e ) 1 / 32",e,"if a certain coin is flipped , the probability that the coin will land heads is 1 / 2 . if the coin is flipped 5 times , what is the probability that it will land heads up on the first 3 flips and not on the last 2 flips ? 
Select the correct option from the provided options: e
",1
task1424_,2,"Problem: there are 25 balls in a jar . you take out 5 blue balls without putting them back inside , and now the probability of pulling out a blue ball is 1 / 5 . how many blue balls were there in the beginning ? 
Options: a ) 12 . , b ) 9 . , c ) 8 . , d ) 7 . , e ) 6 .",b,"Problem: there are 25 balls in a jar . you take out 5 blue balls without putting them back inside , and now the probability of pulling out a blue ball is 1 / 5 . how many blue balls were there in the beginning ? 
Select the correct option from the provided options: a
",0
task1424_,3,"Problem: how many different ways can 2 students be seated in a row of 5 desks , so that there is always at least one empty desk between the students ? 
Options: a ) 2 , b ) 3 , c ) 4 , d ) 6 , e ) 12",e,"how many different ways can 2 students be seated in a row of 5 desks , so that there is always at least one empty desk between the students ? 
Select the correct option from the provided options: e
",1
task1424_,4,"Problem: what is the probability of getting a sum 9 from two throw of a dice ? 
Options: a ) 1 / 6 , b ) 1 / 8 , c ) 1 / 9 , d ) 1 / 12 , e ) 1 / 13",c,"what is the probability of getting a sum 9 from two throw of a dice ? 
Select the correct option from the provided options
c
",1
task1424_,5,"Problem: a bag consists of 20 marbles , of which 5 are blue , 9 are red , and the remainder are white . if lisa is to select a marble from the bag at random , what is the probability that the marble will be red or white ? 
Options: a ) 3 / 4 , b ) 2 / 4 , c ) 1 / 4 , d ) 1 / 8 , e ) 1 / 16",a,"a ) 3 / 4
",1
task1424_,6,"Problem: in a garden , there are yellow and green flowers which are straight and curved . if the probability of picking a green flower is 3 / 4 and picking a straight flower is 1 / 2 , then what is the probability of picking a flower which is yellow and curved 
Options: a ) 1 / 8 , b ) 1 / 6 , c ) 1 / 4 , d ) 3 / 4 , e ) 7 / 8",a,"Problem: in a garden , there are yellow and green flowers which are straight and curved . if the probability of picking a green flower is 3 / 4 and picking a straight flower is 1 / 2 , then what is the probability of picking a flower which is yellow and curved 

Select the correct option from the provided options: a
",1
task1424_,7,"Problem: a box contains 3 red balls and 3 black balls . one by one , every ball is selected at random without replacement . what is the probability that the fourth ball selected is black ? 
Options: a ) 1 / 4 , b ) 1 / 2 , c ) 1 / 2 , d ) 2 , e ) 2 / 3",d,"Select the correct option from the provided options: b
",0
task1424_,8,"Problem: find the probability that a non leap year selected at random will have 53 sundays 
Options: a ) 6 / 7 , b ) 5 / 7 , c ) 4 / 7 , d ) 3 / 7 , e ) 1 / 7",e,"Problem: find the probability that a non leap year selected at random will have 53 sundays
Select the correct option from the provided options: e
",1
task1424_,9,"Problem: in a certain animal population , for each of the first 3 months of life , the probability that an animal will die during that month is 1 / 10 . for a group of 500 newborn members of the population , approximately how many would be expected to survive the first 3 months of life ? 
Options: a ) 340 , b ) 346 , c ) 352 , d ) 365 , e ) 370",d,"Problem: in a certain animal population , for each of the first 3 months of life , the probability that an animal will die during that month is 1 / 10 . for a group of 500 newborn members of the population , approximately how many would be expected to survive the first 3 months of life ? 
Select the correct option from the provided options: d
",1
task1424_,10,"Problem: a bag contains 6 black and 5 white balls . one ball is drawn at random . what is the probability that the ball drawn is white ? 
Options: a ) 3 / 4 , b ) 5 / 11 , c ) 1 / 7 , d ) 1 / 8 , e ) 4 / 3",b,"Select the correct option from the provided options: b
",1
task1424_,11,"Problem: a meeting has to be conducted with 4 managers . find the number of ways in which the managers may be selected from among 8 managers , if there are 2 managers who refuse to attend the meeting together . 
Options: a ) 48 , b ) 55 , c ) 58 , d ) 62 , e ) 70",b,"Problem: a meeting has to be conducted with 4 managers . find the number of ways in which the managers may be selected from among 8 managers , if there are 2 managers who refuse to attend the meeting together . 
Select the correct option from the provided options: b
",1
task1424_,12,"Problem: 4 dices are thrown at the same time . what is the probability of getting only 2 dices showing the same face ? 
Options: a ) 4 / 9 , b ) 5 / 9 , c ) 11 / 18 , d ) 7 / 9 , e ) none of the above",b,"4 dices are thrown at the same time . what is the probability of getting only 2 dices showing the same face ? 
Select the correct option from the provided options: e
",0
task1424_,13,"Problem: the set s consists of 5 numbers : { 1 , 2,3 , 4,5 } . if all possible subsets including the null set are created and one subset is chosen at random , what is the probability that the subset has 4 or 5 as its largest number ? 
Options: a ) 1 / 2 , b ) 2 / 3 , c ) 3 / 4 , d ) 5 / 8 , e ) 11 / 16",c,"Problem: the set s consists of 5 numbers : { 1 , 2,3 , 4,5 } . if all possible subsets including the null set are created and one subset is chosen at random , what is the probability that the subset has 4 or 5 as its largest number ? 
Select the correct option from the provided options: e
",0
task1424_,14,"Problem: in a certain animal population , for each of the first 3 months of life , the probability that an animal will die during that month is 1 / 10 . for a group of 200 newborn members of the population , approximately how many would be expected to survive the first 3 months of life ? 
Options: a ) 140 , b ) 146 , c ) 152 , d ) 162 , e ) 170",b,"Problem: in a certain animal population , for each of the first 3 months of life , the probability that an animal will die during that month is 1 / 10 . for a group of 200 newborn members of the population , approximately how many would be expected to survive the first 3 months of life ? 
Select the correct option from the provided options: c
",0
task1424_,15,"Problem: what is the probability of drawing a queen from a deck of 52 cards ? 
Options: a ) 4 / 13 , b ) 1 / 13 , c ) 4 , d ) 1 , e ) 2 / 13",b,"what is the probability of drawing a queen from a deck of 52 cards ? 
Select the correct option from the provided options: b
",1
task1424_,16,"Problem: a box contains 25 electric bulbs , out of which 4 are defective . two bulbs are chosen at random from this box . the probability that at least one of these is defective is 
Options: a ) 3 / 10 , b ) 7 / 19 , c ) 12 / 19 , d ) 21 / 95 , e ) none",a,"Problem: a box contains 25 electric bulbs , out of which 4 are defective . two bulbs are chosen at random from this box . the probability that at least one of these is defective is 

Select the correct option from the provided options
b
",0
task1424_,17,"Problem: a card is drawn from a pack of 52 cards . the probability of not getting a face card ? 
Options: a ) 9 / 13 , b ) 5 / 12 , c ) 3 / 13 , d ) 6 / 17 , e ) 1 / 13",a,"a ) 9 / 13
",1
task1424_,18,"Problem: there are 13 boys and 10 girls in a class . if three students are selected at random , in how many ways that 1 girl & 2 boys are selected ? 
Options: a ) 120 , b ) 480 , c ) 780 , d ) 720 , e ) 800",c,"Problem: there are 13 boys and 10 girls in a class . if three students are selected at random , in how many ways that 1 girl & 2 boys are selected ? 
Select the correct option from the provided options
c
",1
task1424_,19,"Problem: a box contains 20 electric bulbs , out of which 4 are defective . two bulbs are chosen at random from this box . the probability that at least one of these is defective is 
Options: a ) 7 / 19 , b ) 6 / 19 , c ) 5 / 19 , d ) 4 / 19 , e ) none of these",a,"Select the correct option from the provided options: b
",0
task1424_,20,"Problem: a box contains 100 balls , numbered from 1 to 100 . if 3 balls are selected at random and with replacement from the box . if the 3 numbers on the balls selected contain two odd and one even . what is the probability z that the first ball picked up is odd numbered ? 
Options: a ) 0 , b ) 1 / 3 , c ) 1 / 2 , d ) 2 / 3 , e ) 1",d,"Problem: a box contains 100 balls , numbered from 1 to 100 . if 3 balls are selected at random and with replacement from the box . if the 3 numbers on the balls selected contain two odd and one even . what is the probability z that the first ball picked up is odd numbered ? 
Select the correct option from the provided options: b
",0
task1424_,21,"Problem: a bag contains 3 red , 5 yellow and 7 green balls . 3 balls are drawn randomly . what is the probability that the balls drawn contain balls of different colours ? 
Options: a ) 2 / 7 , b ) 3 / 5 , c ) 3 / 13 , d ) 1 / 4 , e ) 7 / 16",c,"Problem: a bag contains 3 red , 5 yellow and 7 green balls . 3 balls are drawn randomly . what is the probability that the balls drawn contain balls of different colours ? 
Select the correct option from the provided options: c
",1
task1424_,22,"Problem: when 3 fair coins are tossed together , what is the probability of getting 2 tails ? 
Options: a ) 1 / 2 , b ) 1 / 3 , c ) 1 / 4 , d ) 3 / 4 , e ) 2 / 3",a,"when 3 fair coins are tossed together , what is the probability of getting 2 tails ? 
Select the correct option from the provided options
```tool_code
d
```",0
task1424_,23,"Problem: there are 9 pairs of socks and 2 socks are worn from that such that the pair of socks worn are not of the same pair . what is the number of pair that can be formed . 
Options: a ) 62 , b ) 70 , c ) 72 , d ) 71 , e ) 76",c,"Problem: there are 9 pairs of socks and 2 socks are worn from that such that the pair of socks worn are not of the same pair . what is the number of pair that can be formed . 
Select the correct option from the provided options
c
",1
task1424_,24,"Problem: what is the probability of getting only 1 head in a single throw of four fair coins ? 
Options: a ) 1 / 2 , b ) 3 / 8 , c ) 1 / 4 , d ) 1 / 5 , e ) 5 / 8",c,"what is the probability of getting only 1 head in a single throw of four fair coins ? 
Select the correct option from the provided options: b
",0
task1424_,25,"Problem: a box contains 100 balls , numbered from 1 to 100 . if 3 balls are selected at random and with replacement from the box . if the 3 numbers on the balls selected contain two odd and one even . what is the probability l that the first ball picked up is odd numbered ? 
Options: a ) 0 , b ) 1 / 3 , c ) 1 / 2 , d ) 2 / 3 , e ) 1",d,"Select the correct option from the provided options: b
",0
task1424_,26,"Problem: six 6 faced dice are thrown together . the probability that all the three show the same number on them is ? 
Options: a ) 1 / 32 , b ) 1 / 7776 , c ) 1 / 33 , d ) 1 / 38 , e ) 1 / 34",b,"six 6 faced dice are thrown together . the probability that all the three show the same number on them is ? 
Select the correct option from the provided options: b
",1
task1424_,27,"Problem: find the probability that a leap year selected at random will have 53 sundays 
Options: a ) 6 / 7 , b ) 5 / 7 , c ) 4 / 7 , d ) 3 / 7 , e ) 2 / 7",e,"Problem: find the probability that a leap year selected at random will have 53 sundays
Select the correct option from the provided options: e
",1
task1424_,28,"Problem: there is a 20 % chance sandy will visit china this year , while there is a 70 % chance that she will visit malaysia this year . what is the probability that sandy will visit either china or malaysia this year , but not both ? 
Options: a ) 44 % , b ) 48 % , c ) 54 % , d ) 62 % , e ) 70 %",d,"Problem: there is a 20 % chance sandy will visit china this year , while there is a 70 % chance that she will visit malaysia this year . what is the probability that sandy will visit either china or malaysia this year , but not both ? 

Select the correct option from the provided options: d
",1
task1424_,29,"Problem: what is the probability that carol and bernie will get selected for a job they both applied for in a company , given that their chances of getting selected is 4 / 5 and 3 / 5 respectively ? 
Options: a ) 8 / 25 , b ) 11 / 24 , c ) 12 / 25 , d ) 12 / 25 , e ) 12 / 23",d,"what is the probability that carol and bernie will get selected for a job they both applied for in a company , given that their chances of getting selected is 4 / 5 and 3 / 5 respectively ? 
Select the correct option from the provided options: c
",0
task1424_,30,"Problem: if you throw two dice at a same time . can you find the probability of getting sum as 10 of the two numbers shown ? 
Options: a ) 1 / 16 , b ) 2 / 14 , c ) 1 / 12 , d ) 1 / 19 , e ) 1 / 17",c,"if you throw two dice at a same time . can you find the probability of getting sum as 10 of the two numbers shown ? 
Select the correct option from the provided options: c
",1
