task_name,instance_id,instance_content,standard_output,cnlp_output,cnlp_score
task190_,1,Sentence 1: This guy is visiting with someone in their car. Sentence 2: The guy visits a man.,C,N,0
task190_,2,Sentence 1: A man in a red striped shirt and vest making food for sale. Sentence 2: man selling delicious food,N,N,1
task190_,3,Sentence 1: A black-haired man dressed in black is blowing into an object while situated next to someone in pink. Sentence 2: A man is blowing dust off an object.,N,N,1
task190_,4,Sentence 1: A man laying on the floor as he works on an unfinished wooden chair with a tool on the ground. Sentence 2: A man is standing on a recliner.,C,C,1
task190_,5,Sentence 1: Two men stop to talk near a sign outside. Sentence 2: Two men talk near the stop sign.,N,N,1
task190_,6,"Sentence 1: Two men in black jumped with arms raised on a tennis court, as the opposing team in white walk towards the net. Sentence 2: Two men in white jump.",C,N,0
task190_,7,Sentence 1: A young boy trying to impress his dad by doing yard work. Sentence 2: A young person is working in the yard.,C,N,0
task190_,8,Sentence 1: A man stands on snow and looks out at mountains and forests. Sentence 2: A man is on the snow.,C,N,0
task190_,9,Sentence 1: A plane is flying over a group of people. Sentence 2: A plan crashes into people.,C,C,1
task190_,10,Sentence 1: Blond girl in a yellow-belt martial arts uniform standing in front of a door and carrying a large trophy. Sentence 2: There is a blond girl in martial arts uniform outdoors,C,N,0
task190_,11,Sentence 1: Many people at an outdoor gathering with a guy and girl in the foreground. Sentence 2: No one decided to come to the planned gathering.,C,C,1
task190_,12,Sentence 1: A girl in a pink shirt playing with a green ball. Sentence 2: The small girl is having old fashioned fun.,C,N,0
task190_,13,Sentence 1: A man wearing a red shirt is using the first in a series of five ATM booths. Sentence 2: A man is inside a bank talking to a teller,C,N,0
task190_,14,Sentence 1: A wedding is setup in a tropical area. Sentence 2: a wedding is all set up,C,N,0
task190_,15,Sentence 1: A child is looking up at an adult while sitting in a stroller on a city sidewalk. Sentence 2: The child is sitting in a stroller.,C,N,0
task190_,16,Sentence 1: A man in a cast uses a camcorder while another man watches him. Sentence 2: Both men are asleep.,C,C,1
task190_,17,Sentence 1: A man in a long-sleeve shirt and jeans plays basketball. Sentence 2: The man is wearing swim trunks.,C,C,1
task190_,18,Sentence 1: A woman aims a sledgehammer to break a concrete block placed on a man's stomach while children watch. Sentence 2: A woman aims a chainsaw to break a block of wood placed on a man's stomach while children watch.,C,N,0
task190_,19,Sentence 1: A man pushes a cart of bananas down the street. Sentence 2: A man is pushing a cart of fruit.,C,N,0
task190_,20,Sentence 1: A boy is riding on an orange bodyboard in the ocean. Sentence 2: A boy is playing in the ocean,N,N,1
task190_,21,Sentence 1: Two men in black jackets stand in a small boat in the water. Sentence 2: There are three men wearing blue jackets.,C,C,1
task190_,22,Sentence 1: A crowd is watching a man surf. Sentence 2: A crowd is enjoying the man,N,N,1
task190_,23,Sentence 1: An old woman with a cane sits on a red bench. Sentence 2: There is a person sitting.,C,N,0
task190_,24,"Sentence 1: Two men and a woman in shorts and hiking gear stand in the snow before a large green sign with a smaller sign saying ""Danger"" on top. Sentence 2: Two people wearing shorts and hiking gear stand in snow next to a sign declaring ""Danger"".",C,N,0
task190_,25,Sentence 1: A group of men stand at the back of an open semi-truck with dollies. Sentence 2: Some men from a company are moving merchandise into a truck,N,N,1
task190_,26,Sentence 1: Large groups of families gather in an outdoor courtyard to pray for rain. Sentence 2: The families eat dinner at a table.,C,N,0
task190_,27,"Sentence 1: Two women walking next to a sign that reads ""DOWNTOWN"". Sentence 2: The women are standing next to a sign that says ""Cleveland, Ohio""",C,N,0
task190_,28,Sentence 1: Two people with flotation devices are leaping into water. Sentence 2: two people learning swimming,N,N,1
task190_,29,Sentence 1: Two people talk next to a flag with an eye illustration. Sentence 2: Two people are discussing the flag that is next to them.,N,N,1
task190_,30,Sentence 1: Two shirtless men walking on a crowded beach. Sentence 2: A couple guys are getting some exercise.,C,N,0
task190_,31,Sentence 1: Two toddlers with NY Giants pajamas on play with the clean laundry. Sentence 2: The two people are very young.,C,N,0
task190_,32,Sentence 1: A construction worker in overalls and a yellow construction hat shovels dirt into a wheelbarrow. Sentence 2: A man is at work,C,N,0
task190_,33,"Sentence 1: Two older men, dressed in suits, give a presentation. Sentence 2: Two men sit silently.",C,C,1
task190_,34,Sentence 1: Two men are conversing nearby a painting. Sentence 2: Two men are stealing a painting.,C,C,1
task190_,35,Sentence 1: A crowd is gathered in a large outdoor public space. Sentence 2: There is a crowd gathered watching someone having a dramatic fight.,N,N,1
task190_,36,Sentence 1: A girl is serving food and a man is staring at her. Sentence 2: A girl is serving food and notices a man is staring at her.,N,N,1
task190_,37,Sentence 1: A woman wearing a white bolero jacket is holding a box with some items in it. Sentence 2: The woman is holding a bag.,C,N,0
task190_,38,Sentence 1: A male hiker high in the mountains. Sentence 2: A guy is driving in the mountains.,C,N,0
task190_,39,Sentence 1: A very dirty man is sleeping on the step of a building. Sentence 2: A drunk man has passed out next to a puddle of vomit in front of a building.,N,N,1
task190_,40,"Sentence 1: A group of Indian men demonstrate the act of sleeping to 3 school children, a young boy, and two young girls. Sentence 2: Nobody is sleeping",C,C,1
task190_,41,Sentence 1: Five men are sitting at a table with drinks. Sentence 2: Some men are drinking at a table.,C,N,0
task190_,42,"Sentence 1: Three individuals, two men and one woman, on a stage in front of a crowd. Sentence 2: four people sat on the stage",C,N,0
task190_,43,"Sentence 1: One man is sitting on top of a school bus, while another man, wearing a matching shirt, is standing inside. Sentence 2: A dog catches a frisbee.",C,N,0
task190_,44,Sentence 1: A young girl in a blue shirt with blue jean shorts is grasping the top of a white cinder block wall. Sentence 2: A human grasping.,C,N,0
task190_,45,"Sentence 1: A young boy in a red and white shirt is squatting on the ground, surrounded by bushes. Sentence 2: A boy is squatting on the ground.",C,E,0
task190_,46,"Sentence 1: Multiple people, one of whom is on a bicycle, cross a busy street. Sentence 2: Everyone is on a bicycle.",C,C,1
task190_,47,Sentence 1: Two dogs run across the grassy field. Sentence 2: Two dogs are running in a grass field.,C,E,0
task190_,48,Sentence 1: A young woman wearing a pink and green striped shirt with a white belt and flip-flops sitting on a cement step. Sentence 2: A woman is mowing the front lawn.,C,C,1
task190_,49,Sentence 1: Children recite something from white sheet of paper. Sentence 2: The children are coloring with coloring books.,C,N,0
task190_,50,Sentence 1: Two people in a canoe watching something in the boulder lined water. Sentence 2: Two people are in a canoe.,C,E,0
